City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avera,33.194,-82.5271,78.85,57,75,11.59,US,1679775927
1,ulladulla,-35.35,150.4667,59.77,88,96,3.4,AU,1679775928
2,ranfurly,-45.1333,170.1,50.11,99,100,1.34,NZ,1679775928
3,elmira,42.0898,-76.8077,43.99,94,100,15.68,US,1679775784
4,ushuaia,-54.8,-68.3,53.26,50,75,5.75,AR,1679775803
5,rikitea,-23.1203,-134.9692,76.91,82,100,7.38,PF,1679775894
6,ancud,-41.8697,-73.8203,58.8,55,0,3.56,CL,1679775929
7,dalbandin,28.8947,64.4101,64.99,32,0,4.79,PK,1679775930
8,broome,42.2506,-75.833,41.45,83,100,18.41,US,1679775930
9,darhan,49.4867,105.9228,14.11,89,100,5.19,MN,1679775931
10,avarua,-21.2078,-159.775,78.85,89,40,2.3,CK,1679775890
11,tiksi,71.6872,128.8694,-5.93,99,98,4.21,RU,1679775917
12,ust-nera,64.5667,143.2,-19.03,100,71,4.59,RU,1679775932
13,souillac,-20.5167,57.5167,79.18,83,40,6.91,MU,1679775932
14,cherskiy,68.75,161.3,-1.66,96,100,5.66,RU,1679775913
15,sur,22.5667,59.5289,75.11,67,0,6.98,OM,1679775933
16,namibe,-15.1961,12.1522,74.55,71,89,6.87,AO,1679775933
17,tuktoyaktuk,69.4541,-133.0374,12.2,85,75,17.27,CA,1679775933
18,raichur,16.2,77.3667,81.34,55,73,11.56,IN,1679775934
19,lagoa,39.05,-27.9833,58.66,88,99,21.45,PT,1679775934
20,maniitsoq,65.4167,-52.9,16.16,79,100,6.44,GL,1679775935
21,chokurdakh,70.6333,147.9167,-32.31,100,18,2.95,RU,1679775905
22,clyde river,70.4692,-68.5914,-14.57,84,100,4.61,CA,1679775935
23,pincher creek,49.4833,-113.952,39.36,54,75,11.5,CA,1679775936
24,upernavik,72.7868,-56.1549,-12.03,88,17,6.08,GL,1679775936
25,borgarnes,64.5383,-21.9206,33.85,69,32,9.28,IS,1679775937
26,barrow,71.2906,-156.7887,-3.98,77,0,11.5,US,1679775909
27,dzhebariki-khaya,62.2167,135.8,-8.1,100,100,1.88,RU,1679775937
28,brae,60.3964,-1.353,37.11,60,100,15.3,GB,1679775938
29,cidreira,-30.1811,-50.2056,74.12,91,100,11.25,BR,1679775938
30,black river,18.0264,-77.8487,83.26,63,3,14.74,JM,1679775939
31,qaanaaq,77.484,-69.3632,-7.62,69,0,4.85,GL,1679775904
32,port alfred,-33.5906,26.891,69.69,82,24,4.99,ZA,1679775939
33,busselton,-33.65,115.3333,64.18,78,100,14.81,AU,1679775908
34,mataura,-46.1927,168.8643,57.47,93,87,2.24,NZ,1679775887
35,faanui,-16.4833,-151.75,82.13,73,70,6.71,PF,1679775940
36,celendin,-6.8703,-78.1517,66.72,70,80,5.79,PE,1679775940
37,port lincoln,-34.7333,135.8667,63.12,79,100,9.33,AU,1679775941
38,monze,-16.2833,27.4833,63.68,84,0,2.66,ZM,1679775941
39,ponta do sol,32.6667,-17.1,67.01,72,100,7.45,PT,1679775942
40,yellowknife,62.456,-114.3525,0.12,46,20,5.75,CA,1679775921
41,bluff,-46.6,168.3333,57.79,68,100,23.44,NZ,1679775899
42,dalen,52.6992,6.7556,48.06,88,14,14.0,NL,1679775942
43,atuona,-9.8,-139.0333,80.74,77,57,14.18,PF,1679775885
44,elat,29.5581,34.9482,62.44,82,40,0.0,IL,1679775943
45,sassandra,4.95,-6.0833,79.23,86,100,3.0,CI,1679775943
46,tautira,-17.7333,-149.15,80.2,75,75,4.65,PF,1679775944
47,necochea,-38.5473,-58.7368,65.43,76,53,21.99,AR,1679775944
48,kutum,14.2,24.6667,72.14,26,3,21.25,SD,1679775945
49,ossora,59.2353,163.0719,3.16,77,100,6.93,RU,1679775945
50,polkowice,51.5039,16.0726,46.94,74,100,12.39,PL,1679775946
51,port hardy,50.6996,-127.4199,42.98,81,75,14.97,CA,1679775934
52,carnarvon,-24.8667,113.6333,73.71,79,7,16.06,AU,1679775946
53,saint george,37.1041,-113.5841,50.43,25,0,7.0,US,1679775947
54,hermanus,-34.4187,19.2345,60.8,88,27,12.53,ZA,1679775894
55,hibbing,47.4272,-92.9377,40.42,35,75,16.11,US,1679775947
56,luderitz,-26.6481,15.1594,64.24,90,5,8.16,NA,1679775948
57,kapaa,22.0752,-159.319,80.92,77,75,12.66,US,1679775895
58,dudinka,69.4058,86.1778,-8.45,100,99,3.69,RU,1679775949
59,gbadolite,4.2833,21.0167,73.44,84,98,3.13,CD,1679775949
60,katsuura,35.1333,140.3,58.64,85,100,9.08,JP,1679775949
61,ribeira grande,38.5167,-28.7,61.77,88,75,28.01,PT,1679775950
62,chuy,-33.6971,-53.4616,68.77,97,100,5.26,UY,1679775950
63,hovd,48.0056,91.6419,27.55,39,9,1.5,MN,1679775951
64,puerto ayora,-0.7393,-90.3518,87.76,83,80,8.01,EC,1679775663
65,comodoro rivadavia,-45.8667,-67.5,71.46,16,0,9.22,AR,1679775668
66,tasiilaq,65.6145,-37.6368,15.96,94,100,5.39,GL,1679775952
67,lyngseidet,69.5763,20.2189,14.0,85,97,7.27,NO,1679775952
68,longyearbyen,78.2186,15.6401,-0.56,65,20,9.22,SJ,1679775953
69,provideniya,64.3833,-173.3,32.04,97,100,21.27,RU,1679775894
70,mount gambier,-37.8333,140.7667,49.84,87,100,4.45,AU,1679775953
71,bonavista,48.6499,-53.1147,32.56,88,94,29.3,CA,1679775954
72,port blair,11.6667,92.75,78.94,77,11,5.95,IN,1679775884
73,yucaipa,34.0336,-117.0431,58.82,53,0,5.75,US,1679775954
74,hilo,19.7297,-155.09,79.61,82,75,8.05,US,1679775771
75,new norfolk,-42.7826,147.0587,46.71,71,12,2.8,AU,1679775910
76,bredasdorp,-34.5322,20.0403,64.09,80,8,13.87,ZA,1679775892
77,jamestown,42.097,-79.2353,49.59,93,100,9.22,US,1679775698
78,arraial do cabo,-22.9661,-42.0278,80.56,83,20,10.36,BR,1679775956
79,sorong,-0.8833,131.25,78.04,87,97,8.14,ID,1679775956
80,sao filipe,14.8961,-24.4956,71.33,66,11,7.81,CV,1679775902
81,albany,42.6001,-73.9662,38.05,89,100,5.99,US,1679775293
82,acapulco,16.8634,-99.8901,87.62,55,0,9.22,MX,1679775957
83,punta arenas,-53.15,-70.9167,53.71,54,0,32.21,CL,1679775957
84,saskylakh,71.9167,114.0833,3.79,92,99,10.29,RU,1679775958
85,oksbol,55.6268,8.2876,44.71,94,100,13.69,DK,1679775958
86,hambantota,6.1241,81.1185,79.66,79,52,6.44,LK,1679775958
87,hobart,-42.8794,147.3294,47.05,90,20,4.61,AU,1679775901
88,mahebourg,-20.4081,57.7,79.09,83,40,6.91,MU,1679775884
89,esperance,-33.8667,121.9,65.19,88,100,14.25,AU,1679775959
90,hithadhoo,-0.6,73.0833,82.09,77,100,7.56,MV,1679775960
91,east london,-33.0153,27.9116,71.94,88,100,10.07,ZA,1679775893
92,harrisonville,38.6533,-94.3488,62.17,51,100,3.44,US,1679775689
93,xianshuigu,38.985,117.3828,33.8,75,0,4.47,CN,1679775960
94,panguna,-6.3164,155.4848,67.08,89,100,1.61,PG,1679775961
95,olean,42.0776,-78.4297,45.28,100,100,18.41,US,1679775961
96,plouzane,48.3833,-4.6167,48.25,97,100,16.11,FR,1679775962
97,glyadyanskoye,54.9075,65.0883,32.67,95,99,8.32,RU,1679775962
98,thompson,55.7435,-97.8558,21.36,53,75,10.36,CA,1679775963
99,alexandria,31.2156,29.9553,59.54,72,0,15.7,EG,1679775963
100,khatanga,71.9667,102.5,-2.07,89,100,11.65,RU,1679775912
101,butaritari,3.0707,172.7902,80.92,81,99,17.67,KI,1679775964
102,sola,-13.8833,167.55,80.6,73,94,2.68,VU,1679775964
103,mar del plata,-38.0023,-57.5575,73.42,76,75,10.36,AR,1679775841
104,san patricio,28.017,-97.5169,89.55,17,0,10.89,US,1679775965
105,grindavik,63.8424,-22.4338,33.75,69,75,12.66,IS,1679775965
106,severo-kurilsk,50.6789,156.125,25.88,68,96,30.13,RU,1679775966
107,bambanglipuro,-7.95,110.2833,76.51,89,100,4.27,ID,1679775966
108,hasaki,35.7333,140.8333,50.4,77,100,14.16,JP,1679775967
109,turayf,31.6725,38.6637,53.85,87,75,6.91,SA,1679775967
110,lysyye gory,51.5506,44.8414,52.83,74,100,5.3,RU,1679775968
111,vaini,-21.2,-175.2,80.76,89,75,10.36,TO,1679775970
112,vanimo,-2.6741,141.3028,75.97,91,58,3.78,PG,1679775970
113,arman,59.7,150.1667,-13.23,80,13,7.74,RU,1679775970
114,praia da vitoria,38.7333,-27.0667,60.76,94,75,16.15,PT,1679775883
115,north bend,43.4065,-124.2243,48.07,73,75,10.36,US,1679775971
116,shira,54.4911,89.9531,29.86,69,25,5.23,RU,1679775972
117,bereda,43.2686,-7.5406,53.15,100,100,8.19,ES,1679775972
118,ostrovnoy,68.0531,39.5131,22.5,81,100,13.06,RU,1679775972
119,shar,49.5886,81.0453,24.67,79,5,6.55,KZ,1679775973
120,laguna,38.421,-121.4238,59.29,40,0,16.11,US,1679775973
121,torbay,47.6666,-52.7314,34.27,96,100,28.77,CA,1679775974
122,polur,12.5,79.1333,78.04,84,100,3.36,IN,1679775976
123,muravlenko,63.7898,74.523,21.63,96,100,5.61,RU,1679775976
124,dabakala,8.3667,-4.4333,86.61,38,95,5.01,CI,1679775977
125,cedar city,37.6775,-113.0619,38.39,34,0,6.91,US,1679775958
126,trinidad,-14.8333,-64.9,89.58,62,40,4.61,BO,1679775978
127,poya,-21.35,165.15,76.75,91,99,2.46,NC,1679775978
128,paraiso,9.8383,-83.8656,78.71,76,27,4.61,CR,1679775979
129,codrington,-38.2667,141.9667,51.49,84,100,4.76,AU,1679775910
130,saldanha,-33.0117,17.9442,64.0,89,1,7.61,ZA,1679775979
131,port-gentil,-0.7193,8.7815,82.36,89,20,8.05,GA,1679775980
132,klungkung,-8.5333,115.4,81.28,91,100,2.66,ID,1679775981
133,lakes entrance,-37.8811,147.981,58.15,88,100,3.94,AU,1679775981
134,kalevala,65.2,31.1667,-1.98,99,48,4.38,RU,1679775982
135,cape town,-33.9258,18.4232,64.81,91,75,4.61,ZA,1679775600
136,leshukonskoye,64.8989,45.7622,32.67,99,100,5.88,RU,1679775983
137,revda,56.801,59.9303,34.07,92,100,11.81,RU,1679775783
138,dikson,73.5069,80.5464,-3.48,98,99,7.63,RU,1679775886
139,coquimbo,-29.9533,-71.3436,71.33,68,75,9.22,CL,1679775983
140,alice town,25.7167,-79.3,76.14,74,0,8.16,BS,1679775984
141,ust-ilimsk,58.0006,102.6619,15.15,99,94,5.39,RU,1679775985
142,castro,-24.7911,-50.0119,72.25,85,100,6.15,BR,1679775906
143,shetpe,44.1667,52.1167,56.8,41,97,5.32,KZ,1679775985
144,itarema,-2.9248,-39.9167,80.4,82,74,8.46,BR,1679775986
145,lata,40.1629,-8.3327,59.92,91,84,2.86,PT,1679775986
146,paamiut,61.994,-49.6678,19.08,77,43,1.36,GL,1679775987
147,sitka,57.0531,-135.33,39.09,81,100,8.05,US,1679775987
148,aklavik,68.2191,-135.0107,15.8,57,75,12.66,CA,1679775989
149,wanning,18.8003,110.3967,72.86,96,22,4.94,CN,1679775990
150,klyuchi,52.2667,79.1667,36.16,81,83,8.41,RU,1679775991
151,staraya kulatka,52.7167,47.6167,51.6,83,88,10.92,RU,1679775991
152,polovinnoye,54.7914,65.9864,31.28,94,100,8.77,RU,1679775991
153,bethel,41.3712,-73.414,40.01,85,100,16.11,US,1679775992
